Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/api/health,502,0,15,101.04689983236167,5.789582995930687,2379.113375005545,105.0,1.6844218085132714,0.0,15,16,17,18,170,660,1300,1800,2400,2400,2400
GET,/api/v1/jobs [list],5,0,370.0,483.64695819909684,327.13829100248404,939.6357919904403,2310.6,0.01677710964654653,0.0,370,420,420,940,940,940,940,940,940,940,940
GET,/api/v1/jobs/{id} [not found],213,0,4,76.93708274575516,1.1740420013666153,1352.3407920001773,30.0,0.7147048709428822,0.0,4,4,5,5,160,690,1100,1200,1400,1400,1400
GET,/api/v1/jobs/{id} [polling],538,0,32,180.29151441436673,13.378082992858253,4128.691749996506,433.3197026022305,1.8052169979684065,0.0,32,43,52,64,570,1000,1500,1600,4100,4100,4100
POST,/api/v1/upload [complex PDF],4,0,1600.0,2509.700093749416,1469.1539159975946,4012.2749580041273,148.0,0.013421687717237223,0.0,3000,3000,4000,4000,4000,4000,4000,4000,4000,4000,4000
POST,/api/v1/upload [simple PDF],12,0,1600.0,1855.3888679149775,1218.1967079959577,3738.568500004476,142.0,0.04026506315171167,0.0,1700,1700,2000,2000,2900,3700,3700,3700,3700,3700,3700
,Aggregated,1274,0,20,156.06882156718493,1.1740420013666153,4128.691749996506,240.24725274725276,4.274807537940055,0.0,20,29,40,48,520,1000,1600,2000,4000,4100,4100
