Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/api/health,20,0,15,15.101354050420923,8.553333012969233,20.36908399895765,105.0,0.3375839033696597,0.0,15,16,16,16,20,20,20,20,20,20,20
GET,/api/v1/jobs/{id} [not found],9,0,4,4.699564779811125,3.131833000225015,9.038667005370371,30.0,0.15191275651634686,0.0,4,5,5,5,9,9,9,9,9,9,9
,Aggregated,29,0,14,11.873212552645468,3.131833000225015,20.36908399895765,81.72413793103448,0.48949665988600655,0.0,14,15,15,16,18,20,20,20,20,20,20
