Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1767870490,10,,Aggregated,4.700000,0.000000,24,42,330,750,1200,2200,3400,4100,4100,4100,4100,94,0,24,376.24059660617814,3.4493339917389676,4128.691749996506,229.8404255319149
1767870491,10,,Aggregated,4.700000,0.000000,24,41,330,750,1200,2200,3400,4100,4100,4100,4100,95,0,24,372.4238552312416,3.4493339917389676,4128.691749996506,228.52631578947367
1767870492,10,,Aggregated,4.600000,0.000000,24,38,300,490,1200,1900,2400,3400,4100,4100,4100,103,0,24,345.365461543286,3.4493339917389676,4128.691749996506,233.97087378640776
1767870493,10,,Aggregated,4.800000,0.000000,23,38,250,480,1200,1900,2400,3400,4100,4100,4100,107,0,23,332.816462195968,3.4493339917389676,4128.691749996506,227.74766355140187
1767870494,10,,Aggregated,4.700000,0.000000,23,37,160,330,1200,1900,2400,3400,4100,4100,4100,116,0,23,308.28768568068784,3.4493339917389676,4128.691749996506,231.57758620689654
1767870495,10,,Aggregated,4.800000,0.000000,23,37,43,330,1200,1900,2400,3400,4100,4100,4100,117,0,23,305.69114100820343,3.4493339917389676,4128.691749996506,229.85470085470087
1767870496,10,,Aggregated,5.000000,0.000000,23,34,42,330,1200,1600,2400,3400,4100,4100,4100,124,0,23,289.81143311255204,3.4493339917389676,4128.691749996506,232.71774193548387
1767870497,10,,Aggregated,4.800000,0.000000,23,34,42,300,1200,1600,2400,3400,4100,4100,4100,128,0,22,281.27581346052466,3.4493339917389676,4128.691749996506,231.2265625
1767870498,10,,Aggregated,4.700000,0.000000,23,33,41,250,960,1600,2400,3400,4100,4100,4100,134,0,23,269.6353165294242,3.4493339917389676,4128.691749996506,235.30597014925374
1767870499,10,,Aggregated,4.700000,0.000000,23,33,41,250,1200,1700,2400,3400,4100,4100,4100,138,0,23,274.70829225311047,3.4493339917389676,4128.691749996506,234.1159420289855
1767870500,10,,Aggregated,5.000000,0.000000,23,34,38,160,960,1600,2400,3400,4100,4100,4100,147,0,23,259.21249346200574,2.4188749957829714,4128.691749996506,234.0612244897959
1767870501,10,,Aggregated,5.200000,0.000000,22,33,38,160,960,1600,2400,3400,4100,4100,4100,150,0,22,254.1029205393473,2.4188749957829714,4128.691749996506,229.98
1767870502,10,,Aggregated,5.200000,0.000000,22,33,38,43,960,1700,2300,3400,4100,4100,4100,156,0,22,257.6160058584393,2.4188749957829714,4128.691749996506,233.76923076923077
1767870503,10,,Aggregated,5.300000,0.000000,22,33,38,43,960,1700,2300,3400,4100,4100,4100,160,0,22,251.56533435574602,2.4188749957829714,4128.691749996506,230.08125
1767870504,10,,Aggregated,5.500000,0.000000,22,33,38,43,960,1700,2400,3700,4100,4100,4100,165,0,22,267.1225820540161,2.4188749957829714,4128.691749996506,232.47878787878787
1767870505,10,,Aggregated,5.100000,0.000000,22,31,38,42,960,1700,2400,3700,4100,4100,4100,169,0,22,261.1120892360568,2.4188749957829714,4128.691749996506,229.01775147928993
1767870506,10,,Aggregated,5.100000,0.000000,22,31,38,42,940,1700,2400,3700,4100,4100,4100,175,0,22,253.00302831347966,2.4188749957829714,4128.691749996506,228.56
1767870507,10,,Aggregated,5.100000,0.000000,22,27,38,42,940,1700,2400,3700,4100,4100,4100,178,0,21,248.96766079702215,2.4188749957829714,4128.691749996506,226.47752808988764
1767870508,10,,Aggregated,5.100000,0.000000,21,26,38,42,940,1700,2400,3700,4100,4100,4100,180,0,21,246.3230046103288,2.4188749957829714,4128.691749996506,225.12777777777777
1767870509,10,,Aggregated,5.100000,0.000000,21,26,38,42,940,1700,2400,3700,4100,4100,4100,180,0,21,246.3230046103288,2.4188749957829714,4128.691749996506,225.12777777777777
1767870510,10,,Aggregated,4.700000,0.000000,21,31,38,43,960,1600,2400,3700,4100,4100,4100,187,0,21,260.1145608067378,2.4188749957829714,4128.691749996506,223.7807486631016
1767870511,10,,Aggregated,4.700000,0.000000,21,31,38,43,960,1600,2400,3700,4100,4100,4100,187,0,21,260.1145608067378,2.4188749957829714,4128.691749996506,223.7807486631016
1767870512,10,,Aggregated,4.100000,0.000000,22,33,38,160,940,1600,2400,3700,4100,4100,4100,193,0,22,260.70976142937116,2.4188749957829714,4128.691749996506,224.7979274611399
1767870513,10,,Aggregated,4.100000,0.000000,21,33,38,160,940,1600,2400,3700,4100,4100,4100,195,0,21,258.1162004146534,2.4188749957829714,4128.691749996506,223.1846153846154
1767870514,10,,Aggregated,4.100000,0.000000,21,33,38,160,940,1600,2400,3700,4100,4100,4100,195,0,21,258.1162004146534,2.4188749957829714,4128.691749996506,223.1846153846154
1767870515,10,,Aggregated,3.100000,0.000000,22,33,42,330,940,1600,2400,3700,4100,4100,4100,200,0,22,264.24784665432526,2.4188749957829714,4128.691749996506,223.175
1767870516,10,,Aggregated,3.100000,0.000000,22,34,43,330,1200,1600,2300,3400,4100,4100,4100,206,0,22,282.7312542371835,2.4188749957829714,4128.691749996506,220.55825242718447
1767870517,10,,Aggregated,3.300000,0.000000,23,35,160,420,1200,1600,2300,3400,4100,4100,4100,210,0,22,284.3205662564807,2.4188749957829714,4128.691749996506,223.1
1767870518,10,,Aggregated,2.600000,0.000000,22,34,160,390,960,1600,2300,3400,4100,4100,4100,212,0,22,281.74996794741503,2.4188749957829714,4128.691749996506,223.14150943396226
1767870519,10,,Aggregated,3.100000,0.000000,22,35,160,420,960,1600,2300,3400,4100,4100,4100,219,0,22,279.33366246522536,2.4188749957829714,4128.691749996506,225.42922374429224
1767870520,10,,Aggregated,3.100000,0.000000,22,34,160,390,940,1600,2300,3400,4100,4100,4100,224,0,22,273.39085080309036,2.4188749957829714,4128.691749996506,223.83482142857142
1767870521,10,,Aggregated,3.600000,0.000000,22,34,43,330,940,1600,2300,3400,4100,4100,4100,230,0,22,266.8221407474408,2.4188749957829714,4128.691749996506,226.5086956521739
1767870522,10,,Aggregated,3.700000,0.000000,22,33,43,330,900,1600,2300,3400,4100,4100,4100,234,0,22,262.58448805515985,2.4188749957829714,4128.691749996506,225.7991452991453
1767870523,10,,Aggregated,3.800000,0.000000,22,34,52,330,900,1600,2300,3400,4100,4100,4100,240,0,22,256.88261162467825,2.4188749957829714,4128.691749996506,228.0
1767870524,10,,Aggregated,4.400000,0.000000,22,33,43,330,790,1600,2300,3400,4100,4100,4100,243,0,22,253.92992883513935,2.4188749957829714,4128.691749996506,227.79835390946502
