Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/api/health,1822,2,350.0,1275.6536720086276,1.163082997663878,21331.83354100038,104.8847420417124,6.100950253810819,0.006696981617794532,350,920,1300,1700,3200,5400,11000,14000,21000,21000,21000
GET,/api/v1/jobs [list],36,0,440.0,2216.6946898893607,311.5425830037566,11491.18041699694,3643.472222222222,0.12054566912030158,0.0,440,740,3300,3300,8000,11000,11000,11000,11000,11000,11000
GET,/api/v1/jobs/{id} [not found],708,0,250.0,663.7478663943014,0.7799580052960664,8383.887667005183,30.0,2.370731492699264,0.0,260,620,930,1100,1700,2600,4600,5400,8400,8400,8400
GET,/api/v1/jobs/{id} [polling],1569,0,600.0,1114.150454239942,7.2444160032318905,10951.933666990953,431.92160611854683,5.25378207915981,0.0,600,1100,1500,1800,2500,3700,6900,8500,11000,11000,11000
POST,/api/v1/upload [complex PDF],16,0,6100.0,7112.925013001586,1291.59104199789,19206.813292010338,148.0,0.053575852942356256,0.0,6300,7600,11000,11000,15000,19000,19000,19000,19000,19000,19000
POST,/api/v1/upload [simple PDF],75,1,2800.0,4299.108677213856,404.85829100362025,20118.882541006315,140.10666666666665,0.25113681066729493,0.003348490808897266,2800,3500,4500,5900,12000,15000,19000,20000,20000,20000,20000
,Aggregated,4226,3,450.0,1196.9516096413697,0.7799580052960664,21331.83354100038,244.69143398012304,14.150722158399846,0.010045472426691798,450,990,1300,1700,3000,4700,9200,11000,21000,21000,21000
